State,ZipCode,TaxRegionName,StateRate,EstimatedCombinedRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
IA,50001,"WARREN COUNTY",0.060000,0.060000,0.000000,0,0,2
IA,50002,"ADAIR COUNTY",0.060000,0.070000,0.010000,0,0,1
IA,50003,"DALLAS COUNTY",0.060000,0.070000,0.010000,0,0,1
IA,50005,ALBION,0.060000,0.070000,0.010000,0.000000,0,1
IA,50006,"HARDIN COUNTY",0.060000,0.070000,0.010000,0,0,2
IA,50007,ALLEMAN,0.060000,0.070000,0.010000,0.000000,0,1
IA,50008,"WAYNE COUNTY",0.060000,0.070000,0.010000,0,0,2
IA,50009,ALTOONA,0.060000,0.070000,0.010000,0.000000,0,1
IA,50010,AMES,0.060000,0.070000,0.010000,0.000000,0,1
IA,50011,AMES,0.060000,0.070000,0.010000,0.000000,0,1
IA,50012,AMES,0.060000,0.070000,0.010000,0.000000,0,1
IA,50013,AMES,0.060000,0.070000,0.010000,0.000000,0,1
IA,50014,AMES,0.060000,0.070000,0.010000,0.000000,0,1
IA,50020,"CASS COUNTY",0.060000,0.070000,0.010000,0,0,2
IA,50021,ANKENY,0.060000,0.070000,0.010000,0.000000,0,1
IA,50022,ATLANTIC,0.060000,0.070000,0.010000,0.000000,0,2
IA,50023,ANKENY,0.060000,0.070000,0.010000,0.000000,0,1
IA,50025,AUDUBON,0.060000,0.070000,0.010000,0.000000,0,1
IA,50026,BAGLEY,0.060000,0.070000,0.010000,0.000000,0,1
IA,50027,"BARNES CITY",0.060000,0.070000,0.010000,0.000000,0,1
IA,50028,"JASPER COUNTY",0.060000,0.070000,0.010000,0,0,1
IA,50029,BAYARD,0.060000,0.070000,0.010000,0.000000,0,1
IA,50031,"BEAVER ",0.060000,0.070000,0.010000,0.000000,0,1
IA,50032,"POLK COUNTY",0.060000,0.060000,0.000000,0,0,1
IA,50033,"BEVINGTON (MADISON CO)",0.060000,0.070000,0.000000,0.010000,0,3
IA,50034,"HAMILTON COUNTY",0.060000,0.070000,0.010000,0,0,1
IA,50035,BONDURANT,0.060000,0.070000,0.010000,0.000000,0,1
IA,50036,BOONE,0.060000,0.070000,0.010000,0.000000,0,1
IA,50037,BOONE,0.060000,0.070000,0.010000,0.000000,0,1
IA,50038,"DALLAS COUNTY",0.060000,0.070000,0.010000,0,0,1
IA,50039,"DALLAS COUNTY",0.060000,0.070000,0.010000,0,0,2
IA,50040,"BOXHOLM ",0.060000,0.070000,0.010000,0.000000,0,1
IA,50041,"FRANKLIN COUNTY",0.060000,0.070000,0.010000,0,0,1
IA,50042,"AUDUBON COUNTY",0.060000,0.070000,0.010000,0,0,1
IA,50044,BUSSEY,0.060000,0.070000,0.010000,0.000000,0,1
IA,50046,"CAMBRIDGE ",0.060000,0.070000,0.010000,0.000000,0,1
IA,50047,CARLISLE,0.060000,0.070000,0.010000,0.000000,0,4
IA,50048,CASEY,0.060000,0.070000,0.010000,0.000000,0,1
IA,50049,CHARITON,0.060000,0.070000,0.010000,0.000000,0,2
IA,50050,CHURDAN,0.060000,0.060000,0.000000,0.000000,0,1
IA,50051,"MARSHALL COUNTY",0.060000,0.070000,0.010000,0,0,1
IA,50052,"WAYNE COUNTY",0.060000,0.070000,0.010000,0,0,1
IA,50054,COLFAX,0.060000,0.060000,0.000000,0.000000,0,3
IA,50055,"STORY COUNTY",0.060000,0.070000,0.010000,0,0,2
IA,50056,"STORY COUNTY",0.060000,0.070000,0.010000,0,0,1
IA,50057,"MARION COUNTY",0.060000,0.070000,0.010000,0,0,1
IA,50058,"COON RAPIDS",0.060000,0.070000,0.010000,0.000000,0,1
IA,50059,"GREENE COUNTY",0.060000,0.070000,0.000000,0,0.010000,1
IA,50060,CORYDON,0.060000,0.070000,0.010000,0.000000,0,3
IA,50061,CUMMING,0.060000,0.070000,0.010000,0.000000,0,4
IA,50062,MELCHER-DALLAS,0.060000,0.070000,0.010000,0.000000,0,2
IA,50063,"DALLAS COUNTY",0.060000,0.070000,0.010000,0,0,1
IA,50064,DANA,0.060000,0.060000,0.000000,0.000000,0,1
IA,50065,"DECATUR COUNTY",0.060000,0.070000,0.010000,0,0,2
IA,50066,"DALLAS COUNTY",0.060000,0.070000,0.010000,0,0,1
IA,50067,"DECATUR CITY",0.060000,0.070000,0.010000,0.000000,0,2
IA,50068,"LUCAS COUNTY",0.060000,0.070000,0.010000,0,0,2
IA,50069,"DE SOTO",0.060000,0.070000,0.000000,0.010000,0,1
IA,50070,DEXTER,0.060000,0.070000,0.000000,0.010000,0,1
IA,50071,DOWS,0.060000,0.070000,0.010000,0.000000,0,1
IA,50072,EARLHAM,0.060000,0.060000,0.000000,0.000000,0,2
IA,50073,ELKHART,0.060000,0.070000,0.010000,0.000000,0,3
IA,50074,"RINGGOLD COUNTY",0.060000,0.070000,0.010000,0,0,2
IA,50075,ELLSWORTH,0.060000,0.070000,0.010000,0.000000,0,1
IA,50076,"AUDUBON COUNTY",0.060000,0.070000,0.010000,0,0,1
IA,50078,FERGUSON,0.060000,0.070000,0.010000,0.000000,0,1
IA,50099,BOONE,0.060000,0.070000,0.010000,0.000000,0,1
IA,50101,GALT,0.060000,0.070000,0.010000,0.000000,0,1
IA,50102,"HARDIN COUNTY",0.060000,0.070000,0.010000,0,0,1
IA,50103,"DECATUR COUNTY",0.060000,0.070000,0.010000,0,0,2
IA,50104,"KEOKUK COUNTY",0.060000,0.070000,0.010000,0,0,1
IA,50105,"STORY COUNTY",0.060000,0.070000,0.010000,0,0,1
IA,50106,GILMAN,0.060000,0.070000,0.010000,0.000000,0,1
IA,50107,"GRAND JUNCTION",0.060000,0.060000,0.000000,0.000000,0,1
IA,50108,"DECATUR COUNTY",0.060000,0.070000,0.010000,0,0,1
IA,50109,"POLK COUNTY",0.060000,0.060000,0.000000,0,0,1
IA,50110,GRAY,0.060000,0.070000,0.010000,0.000000,0,1
IA,50111,GRIMES,0.060000,0.080000,0.010000,0.010000,0,2
IA,50112,GRINNELL,0.060000,0.070000,0.010000,0.000000,0,3
IA,50115,"GUTHRIE CENTER ",0.060000,0.070000,0.010000,0.000000,0,1
IA,50116,HAMILTON,0.060000,0.070000,0.010000,0.000000,0,1
IA,50117,"AUDUBON COUNTY",0.060000,0.070000,0.010000,0,0,1
IA,50118,HARTFORD,0.060000,0.070000,0.010000,0.000000,0,1
IA,50119,HARVEY,0.060000,0.070000,0.010000,0.000000,0,1
IA,50120,HAVERHILL,0.060000,0.070000,0.010000,0.000000,0,1
IA,50122,"HARDIN COUNTY",0.060000,0.070000,0.010000,0,0,1
IA,50123,HUMESTON,0.060000,0.070000,0.010000,0.000000,0,2
IA,50124,HUXLEY,0.060000,0.070000,0.010000,0.000000,0,2
IA,50125,INDIANOLA,0.060000,0.070000,0.010000,0.000000,0,4
IA,50126,"IOWA FALLS",0.060000,0.070000,0.010000,0.000000,0,3
